book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
150,4989,4989,1041558,80,312353766,9780312353770.0,Anita Diamant,1997.0,The Red Tent,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
233,9712,9712,3285349,347,140003468X,9781400034680.0,"Gabriel García Márquez, Edith Grossman",1985.0,El amor en los tiempos del cólera,Love in the Time of Cholera,eng,3.89,283806,323461,15246,11450,23825,65668,110544,111974,https://images.gr-assets.com/books/1327124987m/9712.jpg,https://images.gr-assets.com/books/1327124987s/9712.jpg,0
304,227711,227711,1191096,52,60987561,9780060987560.0,Wally Lamb,1998.0,I Know This Much Is True,I Know This Much Is True,eng,4.17,246917,257608,7775,4430,9972,39899,86909,116398,https://images.gr-assets.com/books/1373532198m/227711.jpg,https://images.gr-assets.com/books/1373532198s/227711.jpg,0
326,32234,32234,1223333,96,316182540,9780316182550.0,Janet Fitch,1999.0,White Oleander,White Oleander,eng,3.93,245674,254276,5960,3765,13598,60133,94893,81887,https://images.gr-assets.com/books/1501159524m/32234.jpg,https://images.gr-assets.com/books/1501159524s/32234.jpg,0
383,1241,1241,3140930,69,307276902,9780307276900.0,James Frey,2003.0,A Million Little Pieces,A Million Little Pieces,en-CA,3.62,184241,189931,10857,9619,18950,51504,63727,46131,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg,0
414,6948436,6948436,4126074,82,1416589643,9781416589650.0,Chris Cleave,2008.0,The Other Hand,Little Bee,en-US,3.7,116784,197953,19680,5111,16849,54949,77107,43937,https://images.gr-assets.com/books/1344401905m/6948436.jpg,https://images.gr-assets.com/books/1344401905s/6948436.jpg,0
694,2120652,2120652,1470370,47,312348673,9780312348670.0,Emily Giffin,2008.0,Love the One You're With,Love the One You're With,en-US,3.7,124812,129614,4743,3289,10895,39052,44476,31902,https://images.gr-assets.com/books/1361466590m/2120652.jpg,https://images.gr-assets.com/books/1361466590s/2120652.jpg,0
878,13912,13912,2561274,59,571212921,9780571212930.0,Sylvia Nasar,1998.0,A Beautiful Mind,A Beautiful Mind,en-GB,4.12,98276,100629,1100,2044,3393,16728,36997,41467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
915,10585,10585,1590722,125,8497597729,9788497597720.0,"Stephen King, Bettina Blanch Tyroller",1994.0,Insomnia,Insomnia,spa,3.79,100972,109444,2296,3138,9066,28408,35608,33224,https://images.gr-assets.com/books/1354355494m/10585.jpg,https://images.gr-assets.com/books/1354355494s/10585.jpg,0
919,7354,7354,310090,95,743225422,9780743225430.0,Annie Proulx,1993.0,The Shipping News,The Shipping News,eng,3.83,103151,109047,4044,3321,8054,24808,40446,32418,https://images.gr-assets.com/books/1469036074m/7354.jpg,https://images.gr-assets.com/books/1469036074s/7354.jpg,0
