user_id,book_id,rating
2,4081,4
9,2193,2
9,1301,2
9,1311,2
11,233,5
15,326,5
15,304,5
15,2193,4
4,1311,3
4,1301,3
24,1752,5
24,2188,4
24,2304,5
24,233,4
24,1936,5
24,7409,4
24,326,5
32,150,5
32,1272,4
32,3979,3
32,2192,4
22,7316,3
31,915,4
31,2015,3
31,5563,3
32,2015,3
24,1806,5
46,7208,5
46,8868,5
56,2679,4
72,2136,4
74,6306,3
75,6777,5
75,150,4
75,9854,3
72,1159,5
72,2679,4
85,150,4
38,233,3
85,1096,4
54,383,2
89,1272,5
89,8084,3
94,3821,1
26,3387,5
105,915,4
105,878,4
24,2757,3
113,3028,4
113,2561,5
113,6675,3
54,2546,3
90,150,4
116,9790,5
124,233,3
124,150,3
126,6895,3
128,3561,2
137,1301,3
142,9921,5
128,4755,5
149,3600,4
149,9790,5
149,233,5
149,150,5
151,2561,4
143,1547,2
158,915,5
36,150,4
36,2192,2
108,150,5
167,2193,3
167,3197,4
173,383,2
169,2015,3
169,304,4
167,7436,3
174,4614,3
177,4793,4
169,4108,5
169,3600,5
66,233,4
180,8150,2
177,1272,3
112,2561,4
112,6675,3
112,1145,4
112,2188,4
89,3011,2
171,1096,2
184,3600,3
177,326,5
185,2362,4
187,8084,4
184,1806,5
184,383,5
183,2193,3
115,6664,5
171,2174,4
112,2192,2
112,304,5
112,1441,4
168,8802,2
168,1171,3
194,3600,5
167,2304,4
10,233,3
184,3090,2
203,8763,3
203,2192,3
203,1748,2
203,9171,4
205,233,5
207,5343,4
207,1677,4
194,6895,4
108,2188,3
206,919,4
220,1096,4
220,3600,3
212,9554,4
219,233,4
229,4431,3
219,2015,1
219,3600,4
207,5558,3
207,2862,3
207,5304,4
237,233,5
237,326,5
229,304,4
229,1748,3
239,2193,2
239,150,3
229,3966,3
240,383,5
240,326,5
240,150,5
246,1096,3
242,1783,3
242,233,4
248,304,5
18,919,3
18,1096,4
237,3656,1
237,383,2
142,3856,4
142,2193,4
256,2136,3
56,304,4
257,3387,3
257,233,5
247,8802,3
247,6299,2
247,304,5
258,4081,5
247,3856,4
247,233,5
247,3600,3
247,2304,4
257,3600,2
162,4027,4
162,3197,4
264,233,4
265,150,5
207,5211,4
207,1096,2
269,919,4
271,150,5
21,878,4
242,5051,5
194,5076,4
18,2015,2
283,150,5
247,2991,3
247,4898,4
247,2710,4
276,233,4
256,1311,3
286,4639,2
286,4793,3
286,1386,4
286,1675,3
203,1936,3
243,233,5
256,9554,3
296,2789,3
296,2411,5
296,7357,4
297,4614,3
296,3090,2
278,3406,2
184,4795,4
89,326,3
215,3028,3
174,5385,3
174,150,5
206,3600,5
303,6895,4
303,1096,3
215,2679,2
215,1675,3
215,4793,3
215,4237,2
135,1096,3
238,233,3
324,2192,4
324,2028,4
324,233,5
324,1783,4
324,1204,3
324,9554,4
324,1578,4
324,2862,4
324,7123,4
324,3513,4
324,4795,4
324,2938,4
324,3255,4
322,233,3
324,383,4
258,1936,5
258,3979,3
258,6299,3
258,2128,4
258,1145,3
258,304,5
22,8142,3
322,3016,3
322,3011,3
322,1748,3
215,304,2
237,9300,2
332,1752,3
338,383,4
264,878,4
345,2087,2
345,2193,3
345,6675,4
345,1145,3
345,1386,3
345,8457,3
345,7572,2
345,1096,4
345,5385,3
345,150,5
324,3011,3
345,3979,4
345,1272,3
319,9790,4
338,150,5
319,8750,3
296,6139,3
322,5667,3
340,3979,1
340,1430,3
340,5973,4
340,3090,5
344,3600,4
344,6664,4
286,2288,3
286,1317,3
286,1806,2
286,6299,3
286,2368,1
361,1096,4
361,5051,3
362,919,3
363,1145,1
363,5667,3
363,1547,2
9,6777,3
364,4081,4
364,2193,2
364,1430,2
175,2188,5
175,1752,4
364,4057,5
364,3656,1
337,2188,3
337,5563,4
370,2789,5
370,8026,4
370,4134,4
370,1746,3
370,5304,3
370,2862,3
370,3513,3
370,7513,5
370,5030,4
303,233,5
303,6633,4
303,3088,3
303,6190,4
303,3715,4
362,304,2
332,150,3
316,4081,2
384,4027,5
384,5263,5
384,3197,5
301,7436,1
222,150,3
222,4422,1
229,3567,2
301,1204,4
387,5263,3
387,4027,3
387,326,2
387,3197,1
387,2136,1
387,4005,2
387,1171,4
387,1547,3
387,3406,3
395,8802,5
395,8750,4
395,2028,4
395,2192,3
395,919,3
395,9860,3
395,6777,4
372,7513,4
372,5496,5
229,919,3
229,150,5
399,2288,5
399,383,3
399,3656,2
395,1806,2
395,2368,2
395,326,3
396,304,5
18,3600,4
385,919,5
403,3856,4
396,5667,3
396,1171,1
396,2368,3
396,1675,4
396,1567,4
396,5385,4
396,150,4
