,goodread_book_id:tag_id,count
49400,17333230 : 30574,95761
10700,17184 : 30574,85003
7400,11366 : 30574,57674
8700,13912 : 30574,55760
51300,18505784 : 30574,51590
48600,16138688 : 30574,51112
5500,8600 : 30574,47823
27600,227711 : 30574,45736
50700,18170143 : 30574,44538
37500,3147367 : 30574,42797
33000,597790 : 30574,39427
31900,426775 : 30574,37584
53700,25279165 : 30574,37124
33900,835623 : 30574,36683
300,706 : 30574,36492
46400,13540215 : 30574,35903
53500,24228353 : 30574,34863
16800,38296 : 30574,34663
44100,10790290 : 30574,34059
19100,54499 : 30574,33325
